NOC,Name,Sex,Age,Height,Weight,Season,Year,Sport,Event,Medal
GDR,Kerstin Behrendt,F,21.0,177.0,64.0,Summer,1988,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
NZL,"Genevieve ""Gen"" Behrent",F,25.0,183.0,73.0,Summer,2016,Rowing,Rowing Women's Coxless Pairs,Silver
GDR,Roswitha Beier (-Sonntag),F,15.0,160.0,52.0,Summer,1972,Swimming,Swimming Women's 100 metres Butterfly,Silver
GDR,Roswitha Beier (-Sonntag),F,15.0,160.0,52.0,Summer,1972,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
FRA,Clmence Beikes,F,28.0,180.0,71.0,Summer,2012,Basketball,Basketball Women's Basketball,Silver
USA,Elizabeth Lyon Beisel,F,19.0,168.0,68.0,Summer,2012,Swimming,Swimming Women's 400 metres Individual Medley,Silver
BLR,Tatyana Valeryevna Belan,F,17.0,165.0,43.0,Summer,2000,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
USA,Tanith Jessica Louise Belbin,F,21.0,167.0,52.0,Winter,2006,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
RUS,Anastasiya Aleksandrovna Belikova,F,21.0,177.0,55.0,Summer,2000,Volleyball,Volleyball Women's Volleyball,Silver
AUS,"Lynette ""Lyn"" Bell (-Chipchase)",F,17.0,167.0,57.0,Summer,1964,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
AUS,"Lynette ""Lyn"" Bell (-Chipchase)",F,21.0,167.0,57.0,Summer,1968,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
USA,Teresa A. Bell (Zarzeczny-),F,29.0,178.0,59.0,Summer,1996,Rowing,Rowing Women's Lightweight Double Sculls,Silver
USA,Kacey Lee Bellamy,F,22.0,170.0,66.0,Winter,2010,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
USA,Kacey Lee Bellamy,F,26.0,170.0,66.0,Winter,2014,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
ITA,Stefania Belmondo,F,23.0,158.0,45.0,Winter,1992,Cross Country Skiing,Cross Country Skiing Women's 5/10 kilometres Pursuit,Silver
